Neighbourhood,Population,Land Area,Density,Population %,Income,Commuting,2nd Language,2nd Language %,Latitudes,Longitudes
Crescent Town,8157.0,0.4,"20,393",-10.0,"23,021",24.5,Bengali (18.1%),18.1% Bengali,43.695403,-79.293099
Governor's Bridge/Bennington Heights,2112.0,1.87,1129,4.0,"129,904",7.1,Polish (1.4%),01.4% Polish,,
Leaside,13876.0,2.81,4938,3.0,"82,670",9.7,Bulgarian (0.4%),00.4% Bulgarian,43.7047983,-79.3680904
O'Connor–Parkview,17740.0,4.94,3591,-6.1,"33,517",15.8,Urdu (3.2%),03.2% Urdu,43.7023902,-79.3160976
Old East York,52220.0,7.94,6577,-4.6,"33,172",22.0,Greek (4.3%),04.3% Greek,43.712452,-79.31265325
Thorncliffe Park,17949.0,3.09,5809,9.1,"25,340",16.7,Urdu (21.5%),21.5% Urdu,43.704553,-79.3454074
Alderwood,11656.0,4.94,2360,-4.0,"35,239",8.8,Polish (6.2%),06.2% Polish,43.6017173,-79.5452325
Centennial,12565.0,4.94,2544,0.5,"34,867",11.5,Polish (2.7%),02.7% Polish,43.7874914,-79.1507681
Clairville,8506.0,6.71,1268,-3.3,"26,610",13.2,Punjabi (12.0%),12.0% Punjabi,43.72337025,-79.59745741095173
Eatonville,19131.0,11.26,1699,4.3,"36,206",12.6,Serbian (3.2%),03.2% Serbian,43.6462843,-79.5600005
Humber Bay Shores,10775.0,1.42,7588,-5.7,"39,186",15.7,Russian (5.2%),05.2% Russian,,
Humber Heights,4674.0,1.69,2766,8.3,"39,738",10.1,Spanish (4.1%),04.1% Spanish,43.6981789,-79.5232773
Humberwood,7319.0,17.4,421,8.0,"29,576",7.9,Punjabi (26.7%),26.7% Punjabi,43.722525,-79.54602434384384
Humber Valley Village,14453.0,5.45,2652,-0.1,"80,618",12.0,Ukrainian (3.9%),03.9% Ukrainian,43.6664717,-79.5243136
Islington – Six Points,16508.0,4.02,4106,3.7,"43,570",17.1,Korean (4.9%),04.9% Korean,43.6460556,-79.531469
Kingsview Village,16254.0,4.05,4013,-6.2,"32,004",11.8,Somali (7.0%),07.0% Somali,43.6995391,-79.5563459
Long Branch,9625.0,2.22,4336,-7.4,"37,288",14.2,Polish (4.5%),04.5% Polish,43.59200455,-79.54536450659592
Markland Wood,10240.0,2.92,3507,1.0,"51,695",9.2,Polish (3.4%),03.4% Polish,43.63123865,-79.58543401986114
Mimico,14198.0,5.4,2629,15.4,"47,011",11.6,Polish (3.6%),03.6% Polish,43.6166773,-79.4968048
New Toronto,10455.0,2.71,3858,-5.8,"33,415",13.0,Polish (4.6%),04.6% Polish,43.6007625,-79.505264
Princess Gardens,9288.0,4.13,2249,1.0,"80,607",7.2,Korean (2.4%),02.4% Korean,43.6404664,-79.3912237
Agincourt,44577.0,12.45,3580,4.6,"25,750",11.1,Cantonese (19.3%),19.3% Cantonese,43.7853531,-79.2785494
Alexandra Park,4355.0,0.32,"13,609",0.0,"19,687",13.8,Cantonese (17.9%),17.9% Cantonese,43.650786999999994,-79.40431814731767
Allenby,2513.0,0.58,4333,-1.0,"245,592",5.2,Russian (1.4%),01.4% Russian,43.7113509,-79.5534236
Amesbury,17318.0,3.51,"4,934",1.1,"27,546",16.4,Spanish (6.1%),06.1% Spanish,43.7061619,-79.48349185404643
Armour Heights,4384.0,2.29,1914,2.0,"116,651",10.8,Russian (9.4%),09.4% Russian,43.7439436,-79.4308512
Banbury,6641.0,2.72,2442,5.0,"92,319",6.1,Unspecified Chinese (5.1%),05.1% Unspecified Chinese,43.7427961,-79.3699566407258
